Day,Hour,DHI,DNI,WS,RH,T,TARGET
0.000000,4.500000,0.000000,0.000000,1.300000,74.610000,-11.000000,0.000000
0.000000,5.000000,0.000000,0.000000,1.300000,73.740000,-11.000000,0.000000
0.000000,5.500000,0.000000,0.000000,1.300000,73.730000,-11.000000,0.000000
0.000000,6.000000,0.000000,0.000000,1.400000,72.220000,-12.000000,0.000000
0.000000,6.500000,0.000000,0.000000,1.400000,72.220000,-12.000000,0.000000
0.000000,7.000000,0.000000,0.000000,1.400000,70.270000,-12.000000,0.000000
0.000000,7.500000,0.000000,0.000000,1.600000,64.830000,-10.000000,0.000000
0.000000,8.000000,29.000000,494.000000,1.800000,65.450000,-9.000000,7.039287
0.000000,8.500000,61.000000,7.000000,1.900000,55.900000,-7.000000,5.912871
0.000000,9.000000,58.000000,743.000000,2.100000,57.390000,-6.000000,22.337268
0.000000,9.500000,67.000000,811.000000,1.900000,53.150000,-4.000000,29.469529
0.000000,10.000000,138.000000,368.000000,1.800000,55.990000,-3.000000,25.339762
0.000000,10.500000,178.000000,224.000000,1.900000,55.970000,-3.000000,25.152060
0.000000,11.000000,193.000000,261.000000,2.000000,58.430000,-3.000000,28.718397
0.000000,11.500000,189.000000,364.000000,2.300000,58.410000,-3.000000,33.129393
0.000000,12.000000,190.000000,37.000000,2.600000,59.190000,-3.000000,19.427151
0.000000,12.500000,213.000000,133.000000,2.900000,59.180000,-3.000000,25.715166
0.000000,13.000000,211.000000,114.000000,3.200000,63.270000,-4.000000,24.589225
0.000000,13.500000,185.000000,101.000000,3.100000,63.270000,-4.000000,21.304405
0.000000,14.000000,124.000000,2.000000,3.000000,62.840000,-4.000000,11.731500
0.000000,14.500000,135.000000,69.000000,2.700000,62.850000,-4.000000,14.734764
0.000000,15.000000,62.000000,0.000000,2.500000,68.550000,-5.000000,5.818888
0.000000,15.500000,73.000000,39.000000,2.200000,68.550000,-5.000000,7.602096
0.000000,16.000000,41.000000,11.000000,2.000000,70.270000,-6.000000,4.035725
